ID	T_WT_1	T_WT_2	T_WT_3	T_WT_4	T_WT_5	T_WT_6	T_WT_7	T_WT_8	T_WT_9	T_WT_10	T_BRCA1_1	T_BRCA1_2	T_BRCA1_3	T_BRCA1_4	T_BRCA1_5	T_BRCA2_1	T_BRCA2_2	T_BRCA2_3	T_BRCA2_4	T_BRCA2_5
GLIPR1	5.65795	1.73366	0.595661	9.83033	1.15775	4.98129	10.3918	2.03344	1.73993	0.651961	1.87624	1.57979	2.26369	2.06857	2.10028	3.78519	1.57613	4.63832	2.20542	0.857112
ST3GAL2	1.76739	1.57501	1.33335	2.68408	0.95992	1.81534	2.57245	1.834	0.45426	1.03226	1.49093	1.12276	0.784664	1.03389	0.555919	1.12719	1.56395	0.876299	1.40758	0.987536
SLC2A3	46.8014	11.1523	48.8715	69.2063	53.2549	67.1188	143.742	32.0619	36.2768	9.80476	165.816	26.2795	17.3203	13.0866	20.7465	128.439	62.8549	35.4517	29.8028	8.5082
ADAMTS1	75.4192	6.70634	102.328	28.0273	47.9078	357.087	447.69	41.3764	15.8031	20.6417	20.6023	132.445	59.6657	46.9816	46.3584	268.339	13.7239	365.929	24.6077	36.2356
FSTL1	96.1542	28.6627	11.7112	171.872	14.4174	95.966	106.1	63.7837	20.0962	4.24308	18.542	7.3884	14.3749	16.199	20.4645	26.0331	35.7017	31.8944	35.7102	5.60525
PNMA2	2.68038	0.184926	0.777504	2.42351	0.174219	0.505746	2.43037	0.720795	0.196139	0.296897	0.583502	0.158809	0.0574956	0.676172	0.299181	0.971406	1.05193	0.127857	0.229142	2.15201
TRPA1	3.12145	0.304837	0.197919	5.20008	0.0405214	1.987	2.53122	1.34909	0.304122	0.0713647	0.541764	0.200938	0.501633	1.53137	1.33785	1.08226	0.499934	2.06595	0.939964	0.15885
AK5	0.438008	1.6186	0.0882869	4.90809	0.0859599	0.30811	0.802635	3.44431	0.699772	0.0541946	0.103069	0.280464	0.504534	0.339636	0.262713	0.422482	0.469313	0.399924	0.668628	0.264036
ANGPTL2	13.5589	3.89801	0.922836	10.6299	3.01438	16.6115	32.6399	7.60114	2.89959	3.21192	2.98184	2.26207	1.37589	2.24046	3.50292	4.79887	4.94525	18.3284	7.90346	0.637962
CAVIN1	119.952	46.354	15.0715	217.588	29.0936	106.533	264.349	67.588	52.6682	24.5481	23.2637	12.7554	17.8723	24.1044	26.4326	43.8502	50.6161	67.0771	45.8008	8.29556
ANKRD1	3.80026	1.93479	11.6219	6.62542	6.94795	0.746009	1.32078	6.98155	5.15389	0.335828	0.418536	0.436691	0.434212	0.324469	0.94383	0.780366	30.3194	0.072813	2.19578	0.593739
RFTN1	73.2896	34.2465	7.08459	48.6537	22.6163	58.1572	151.415	21.5267	29.4797	13.6783	11.2751	15.1594	18.6717	51.5865	35.417	42.1384	16.1988	62.4586	12.9774	27.4945
TMEM158	0.141317	0.134351	0.202964	1.21	0.0161427	0.168501	0.16225	0.798911	0.0647539	0.336338	0.141747	0.0750418	0.0	0.0714151	0.165035	0.204716	0.120753	0.0160321	0.400194	0.142043
SUSD5	1.94986	0.56944	0.221096	2.3307	0.0241622	0.924527	2.57466	0.283797	0.324277	0.591679	0.263061	0.151039	0.216185	0.469341	0.070494	0.337434	0.284876	0.601964	0.413607	0.0742093
ARMCX1	7.75222	5.76251	1.29447	5.81128	2.37543	15.422	13.6802	1.86432	3.53905	1.28362	2.85547	1.46093	1.69708	3.79527	1.68683	2.50771	5.11504	12.2299	4.86445	2.17238
ELOVL2	0.973856	0.00733708	0.175825	0.614885	0.0350281	0.267132	0.156693	0.123405	0.0280364	0.0147495	2.15794	0.156824	0.212992	0.214941	0.121237	0.240574	0.442892	0.166318	0.297125	0.159763
ANTXR1	342.35549	120.71981	49.64853	728.2828000000001	12.2935093	424.00404	830.1705	221.73576	259.24759	72.08986	102.789093	54.864657	93.50693	157.46447999999998	146.79787	99.52524	104.6825	407.36831	244.29419	77.78762
NUDT11	1.10883	0.0378059	0.0399382	1.77186	0.0	3.46856	2.82324	0.267882	0.25807	0.058118	0.576419	0.08206	0.076481	0.426984	0.100881	0.0912542	0.390233	4.34	0.338742	0.1199
SLC47A1	2.13754	4.58737	0.16968	1.58389	0.298675	9.30843	4.22444	4.83128	0.557723	0.354128	0.49201	0.128369	0.429346	0.281667	0.902124	0.396971	0.648955	8.59687	0.663056	1.79437
PDE7B	5.33757	4.0909	2.84373	3.83705	0.760187	9.00341	13.2553	0.994564	0.718682	0.297777	0.725442	1.20257	0.595551	0.741624	0.64813	1.05204	2.49817	16.549	1.49239	0.540517
HEG1	60.8073	14.5576	11.9473	96.4683	9.437	22.7315	42.738	22.528	45.0558	6.92358	13.0691	10.2229	32.7509	14.1297	14.2683	20.1753	14.494	13.1282	17.619	4.12506
GNB4	5.49353	3.78956	0.704153	12.0118	1.29046	4.45955	5.80009	2.91049	6.78094	1.6057	1.64083	2.47585	4.3255	3.63986	3.48018	3.1903	4.09846	3.24577	2.41737	1.68231
TMSB15A	1.26677	0.49051	0.196042	2.78092	0.0658513	3.02113	2.95553	0.84331	3.62311	0.360237	0.220585	0.311865	0.415626	0.866841	0.0	0.345623	3.0794	4.6926	1.28341	0.427153
POPDC3	0.253625	0.0226229	3.188198	0.137591	0.187284	0.162874	0.078382	0.0906969	0.250386	0.0	0.0856097	0.0580523	0.0340799	0.0517556	0.0	0.0850754	0.350119	0.0619858	1.102322	0.205956
WNT5B	2.39763	1.28502	0.348217	2.64525	6.54731	3.178179	4.7789	1.41966	1.55836	0.263201	3.04683	0.185024	0.80913	0.263076	0.527731	28.2796	7.852276999999999	2.22172	1.79817	0.104854
TMEM47	3.75712	0.347482	0.772704	5.9448	0.262644	4.17673	5.09238	3.23845	1.33689	0.24013	1.00047	1.5795	4.7353	1.03748	0.844282	3.19277	1.94476	2.33817	1.34354	0.333419
ALPK2	8.51038	2.09281	0.0504064	32.0109	0.15844	0.238103	0.715979	4.90946	0.392892	0.334854	0.375851	0.0756981	0.0399244	0.402395	1.96993	0.358389	0.428455	0.116467	2.03008	0.229198
ZCCHC24	1.78421	0.20628	0.166697	2.35853	0.264222	1.77238	2.66406	0.362915	0.554758	0.171894	0.354451	0.23083	0.201262	0.239906	0.165855	0.443292	0.375985	0.722496	0.344295	0.123214
LIX1L	9.71385	1.1085	2.6833	9.97999	1.40486	15.7428	21.7142	2.07426	2.02299	2.12228	2.46049	1.99295	2.61018	2.95497	2.46897	3.61164	2.64019	10.8262	3.61321	2.4641
NEGR1	1.40725	0.314486	0.449314	0.760588	0.425092	3.34887	3.49887	0.606554	0.306624	0.0837435	0.361363	0.228186	0.264038	0.483517	0.432271	0.873109	0.501363	1.96031	0.489656	0.325246
RFLNB	2.08565	0.887226	0.401379	5.72483	0.360655	1.25313	2.27902	3.04899	0.681747	0.370289	1.24118	0.428608	0.210875	0.662588	0.661347	1.28145	1.07052	0.4982	1.48275	0.358999
RBPMS2	4.0497163	1.556429	1.172274000322769	2.868296	0.21863271	2.888103	5.03426	2.10026742963	0.5622948999999999	2.191022	0.889574	0.5654551	0.881684	0.8934681999999999	0.65358	1.548127	0.943944	2.4625264	0.6351519999999999	0.222034
EMT_index	18.658741816053737	8.082836660624384	4.888650360502476	24.374209578766326	4.877725071788442	18.714572379546464	23.84856022271242	10.718143862047944	6.311704111551623	5.024468489597402	8.086942132793913	5.903051577176818	6.322238831623502	7.768432112023536	7.122716076217604	9.842454426774912	8.75586142852494	14.051521155665919	10.141891935477357	4.68558301739608
